recordDate,fiscalQuarter,productionDept,dayOfWeek,team,plannedEfficiency,standardMinuteValue,workInProgress,overtimeMinutes,performanceBonus,idleMinutes,idleWorkers,styleChangeCount,workerCount,efficiencyScore,idleOccurred
2015-02-24,Q4,Stitching Unit,Tuesday,Line-S1,0.6,22.53,800.5,5040,0,0.0,0,Minor Style Revision,42.0,0.268214286,0
2015-01-19,Q3,Stitching Unit,Monday,Line-F3,0.8,11.41,1028.0,4380,50,0.0,0,No Style Change,31.0,0.800358775,0
2015-01-06,Q1, Finishing & Quality ,Tuesday,Line-C2,0.8,2.9,1039.0,1440,0,0.0,0,No Style Change,8.0,0.681060606,0
2015-02-24,Q4,Finishing & Quality,Tuesday,Line-S2,0.7,3.9,1039.0,960,0,0.0,0,No Style Change,8.0,0.325,0
2015-01-04,Q1, Finishing & Quality ,Sunday,Line-C1,0.8,2.9,1039.0,960,0,0.0,0,No Style Change,8.0,0.667604167,0
2015-02-16,Q3,Stitching Unit,Monday,Line-F2,0.8,30.1,800.5,0,0,0.0,0,No Style Change,59.0,0.800980392,0
2015-02-26,Q4,Finishing & Quality,Thursday,Line-S1,0.5499999999999998,3.94,1039.0,3360,0,0.0,0,No Style Change,8.0,0.768847222,0
2015-02-28,Q4,Finishing & Quality,Saturday,Line-S1,0.5499999999999998,3.94,1039.0,3360,0,0.0,0,No Style Change,8.0,0.768847222,0
2015-01-24,Q4,Stitching Unit,Saturday,Line-C1,0.65,22.52,1252.5,10170,26,0.0,0,No Style Change,56.5,0.650416734,0
2015-03-05,Q1,Stitching Unit,Thursday,Line-Q1,0.75,18.79,1228.0,6240,45,0.0,0,No Style Change,52.0,0.750395513,0
2015-02-02,Q1,Stitching Unit,Monday,Line-P1,0.7,20.55,1252.5,6480,60,0.0,0,No Style Change,54.0,0.700398148,0
2015-01-04,Q1, Finishing & Quality ,Sunday,Line-F1,0.8,3.94,1039.0,6600,0,0.0,0,No Style Change,20.0,0.861679012,0
2015-01-04,Q1,Stitching Unit,Sunday,Line-S1,0.8,26.16,1033.0,7080,63,0.0,0,No Style Change,59.0,0.800318644,0
2015-02-19,Q3,Finishing & Quality,Thursday,Line-S3,0.5499999999999998,5.13,1039.0,2880,0,0.0,0,No Style Change,12.0,0.81640625,0
2015-01-14,Q2,Stitching Unit,Wednesday,Line-C1,0.8,25.9,1150.0,10170,70,0.0,0,No Style Change,56.5,0.900144811,0
2015-01-11,Q2, Finishing & Quality ,Sunday,Line-S3,0.75,4.15,1039.0,1440,0,0.0,0,No Style Change,8.0,0.93532197,0
2015-02-12,Q2,Stitching Unit,Thursday,Line-S2,0.8,22.52,1252.5,0,113,0.0,0,No Style Change,57.5,1.000344928,0
2015-02-14,Q2,Stitching Unit,Saturday,Line-P1,0.6,11.41,1039.0,2280,23,0.0,0,Major Design Shift,55.0,0.600447507,0
2015-02-11,Q2,Stitching Unit,Wednesday,Line-C2,0.6,30.1,1069.0,4560,30,0.0,0,Minor Style Revision,58.0,0.714410494,0
2015-01-25,Q4,Stitching Unit,Sunday,Line-F1,0.75,22.52,867.0,10260,94,0.0,0,No Style Change,57.0,0.900321106,0
2015-02-11,Q2,Stitching Unit,Wednesday,Line-S1,0.8,22.52,1252.5,0,113,0.0,0,No Style Change,57.0,1.000065789,0
2015-02-03,Q1,Stitching Unit,Tuesday,Line-F3,0.7,18.79,913.0,4020,30,0.0,0,No Style Change,33.5,0.700184577,0
2015-02-08,Q2,Finishing & Quality,Sunday,Line-S1,0.8,3.94,1039.0,1200,0,0.0,0,No Style Change,10.0,0.893066667,0
2015-02-22,Q4,Finishing & Quality,Sunday,Line-S1,0.8,3.94,1039.0,2880,0,0.0,0,No Style Change,12.0,0.727349537,0
2015-01-07,Q1, Finishing & Quality ,Wednesday,Line-S3,0.75,4.15,1039.0,2700,0,0.0,0,No Style Change,15.0,0.83,0
2015-01-15,Q3,Stitching Unit,Thursday,Line-S2,0.5499999999999998,22.94,1044.0,9810,23,0.0,0,No Style Change,54.5,0.499998888,0
2015-02-11,Q2,Finishing & Quality,Wednesday,Line-C2,0.5499999999999998,4.15,1039.0,1440,0,0.0,0,No Style Change,12.0,0.994375,0
2015-02-15,Q3,Stitching Unit,Sunday,Line-S1,0.8,22.52,1252.5,6840,113,0.0,0,No Style Change,57.0,1.000230409,0
2015-02-22,Q4,Stitching Unit,Sunday,Line-Q2,0.7,21.25,1252.5,6000,0,0.0,0,Minor Style Revision,50.0,0.456875,0
2015-02-03,Q1, Finishing & Quality ,Tuesday,Line-F1,0.8,4.3,1039.0,1440,0,0.0,0,No Style Change,12.0,0.5375,0
2015-01-31,Q5,Stitching Unit,Saturday,Line-Q2,0.8,22.52,1116.0,6720,93,0.0,0,No Style Change,56.0,0.920236905,0
2015-02-23,Q4,Stitching Unit,Monday,Line-P2,0.8,15.26,1060.0,4080,63,0.0,0,No Style Change,34.0,0.800401961,0
2015-02-11,Q2,Finishing & Quality,Wednesday,Line-S2,0.8,3.94,1039.0,2160,0,0.0,0,No Style Change,18.0,0.912037037,0
2015-01-29,Q5, Finishing & Quality ,Thursday,Line-P2,0.75,4.08,1039.0,1080,0,0.0,0,No Style Change,9.0,0.634666667,0
2015-01-21,Q3,Stitching Unit,Wednesday,Line-F2,0.7,20.4,1252.5,10440,50,0.0,0,No Style Change,58.0,0.750344828,0
2015-02-03,Q1,Stitching Unit,Tuesday,Line-C2,0.7,24.26,1252.5,6660,0,0.0,0,No Style Change,55.5,0.586465465,0
2015-02-11,Q2,Finishing & Quality,Wednesday,Line-F1,0.7,4.15,1039.0,1800,0,0.0,0,No Style Change,15.0,1.033155556,0
2015-01-05,Q1,Stitching Unit,Monday,Line-S1,0.8,26.16,1138.0,7080,63,0.0,0,No Style Change,59.0,0.800318644,0
2015-02-18,Q3,Stitching Unit,Wednesday,Line-P2,0.8,15.26,1095.0,4080,63,0.0,0,No Style Change,34.0,0.800401961,0
2015-02-18,Q3,Finishing & Quality,Wednesday,Line-Q1,0.8,3.94,1039.0,960,0,0.0,0,No Style Change,8.0,0.549791667,0
2015-01-22,Q4,Stitching Unit,Thursday,Line-S1,0.7,22.94,1252.5,12180,63,0.0,0,No Style Change,57.0,0.750162367,0
2015-01-07,Q1,Stitching Unit,Wednesday,Line-Q1,0.8,26.16,1252.5,10620,75,0.0,0,No Style Change,59.0,0.850502311,0
2015-03-04,Q1,Finishing & Quality,Wednesday,Line-F2,0.7,4.6,1039.0,960,0,0.0,0,No Style Change,8.0,0.592083333,0
2015-01-21,Q3,Stitching Unit,Wednesday,Line-F1,0.75,22.52,825.0,10080,94,0.0,0,No Style Change,56.0,0.900556277,0
2015-02-22,Q4,Stitching Unit,Sunday,Line-F3,0.75,18.79,1055.0,3960,45,0.0,0,No Style Change,33.0,0.75065101,0
2015-03-02,Q1,Stitching Unit,Monday,Line-P2,0.8,15.26,1035.0,4080,63,0.0,0,No Style Change,34.0,0.800401961,0
